name,price,availability,brand,productCode,description
Canon EF28-135mm f/3.5-5.6 IS USM," Rs38,795.00 "," Rs38,795.00 ",Canon,Product Code: EF28-135mm f/3.5-5.6 IS USM,"This standard zoom lens comes equipped with an Image Stabilizer mechanism that lets you drop down two shutter speeds*1 farther than you would normally be able to use during hand-held photography. Despite the roughly 5x large magnification zoom, the lens size itself is very compact, thanks to use of a compact EMD and a multi-group zoom system, which means this lens works well in fast-moving photographic situations. The optical system uses glass-mold aspherical lenses. Suppressing the curvature of field, spherical aberration, and other distortions common in long focal lengths over the whole zoom range and correcting for other aberrations makes for sharp picture quality. The autofocus is quick and quiet thanks to the ring-type USM and inner focusing system. The full-time manual focus, non-rotating front lens element, and wide zoom ring make the lens a dream to use. The hood for this lens is the petal-type EW-78BII. Filter size: 72mm Max aperture: f/3.5-5.6 With ring USM motor and IS"
Canon EF28-300mm f/3.5-5.6L IS USM," Rs159,995.00 "," Rs159,995.00 ",Canon,Product Code: EF28-300mm f/3.5-5.6L IS USM,"This ultra-high quality zoom lens covers the entire zoom range from 28mm wide-angle to 300mm telephoto. With three UD lenses and three aspherical lenses, chromatic aberration and distortions are thoroughly suppressed, realizing an approximately 11x zoom range with image quality suited to an L lens. And because the lens comes with an image stabilization mechanism that can compensate for approximately 3 shutter speeds*1, users can take advantage of its full capabilities during handheld shooting at 300mm telephoto and in locations with insufficient lighting. The lens uses environmentally friendly lead-free glass, and with an optimized lens coating and optical design, it minimizes flare and ghosts, which often occur with digital cameras. In addition, it features a zoom ring friction control mechanism, making it possible to freely set zoom operations, and enhanced dust-proof and drip-proof*2 design for shooting under severe conditions. The lens also comes with high-speed AF and full-time manual focus system. This ultrahigh-performance zoom lens meets the demands of all users from professionals to photo enthusiasts. Filter size: 77mm Max aperture: f/3.5-5.6 With ring USM motor and IS"
Canon EF300mm f/2.8L IS II USM," Rs413,635.00 "," Rs413,635.00 ",Canon,Product Code: EF-S18-135mm f/3.5-5.6 IS USM,• 	 Large-aperture high-performance f/2.8 super-telephoto L lens with built-in Image Stabilization • 	 Magnesium alloy body ensures structural strength and lightweight body • 	 Use of titanium in some parts also contributes to the reduced weight • 	 Highly resistant to dust and water for use under harsh environmental conditions Filter size: 52mm Max aperture: f/2.8 With ring USM motor
Canon EF400mm f/2.8L IS II USM," Rs658,180.00 "," Rs658,180.00 ",Canon,Product Code: EF400mm f/2.8L IS II USM,• 	 Large-aperture high-performance f/2.8 super-telephoto L lens with built-in Image Stabilization • 	 Magnesium alloy body ensures structural strength and lightweight body • 	 Use of titanium in some parts also contributes to the reduced weight • 	 Highly resistant to dust and water for use under harsh environmental conditions Filter size: 52mm Max aperture: f/2.8 With ring USM motor
Canon EF400mm f/4 DO IS II USM," Rs439,995.00 "," Rs439,995.00 ",Canon,Product Code: EF400mm f/4 DO IS II USM,"The EF400mm f/4 DO IS II USM is a professional lens that is particularly suited for wildlife and sports photographers. This lens allows photographers to achieve the reach of a super-telephoto lens, while maintaining superior standards of mobility in the lens through a portable and lightweight form factor. While traditional telephoto lenses are designed with gaps between the optical elements to reduce chromatic aberration, the EF400mm f/4 DO IS II USM uses a gapless dual-layered diffractive optical element, which greatly reduces the ring-shaped diffractive flaring caused by high-intensity light sources. This reduction is taken further with the incorporation of a large diameter ground aspherical lens and a UD lens.  It also contains an improved IS unit that significantly enhances image stabilization when the appropriate IS mode is selected and features a shorter minimum focal distance, down to 3.3m from 3.5m in its predecessor. Maximum magnification has also improved from 0.12x to 0.13x as a result of the superior lens characteristics. The EF400mm f/4 DO IS II USM is highly resistant to harsh environments. This is achieved through a fluorine coating on both the front and rear lens elements, which makes the lens dirt and oil-resistant while easier to clean. All rings and buttons are constructed with a dust and drip-proof structure, preventing dust and liquid from entering the sensitive interior of the lens. Filter size: 52mm drop-in Max aperture: f/4 With Ring–type USM and IS"
Canon EF400mm f/5.6L USM," Rs83,635.00 "," Rs83,635.00 ",Canon,Product Code: EF400mm f/5.6L USM,"This is a high-performance 400mm super telephoto lens featuring an extremely light and compact design ideal for photographers requiring high mobility and portability. The optical system incorporates one element made of Super UD glass and on element made of standard UD glass, thus effectively correcting colour aberration and delivering extremely sharp, high-contrast imaging performance. Other features that ensure convenient operation include a built-in hood, a removable ring-type tripod mount, and a focus range selector that allows the user to select the full 3.5m/11.5ft.-to-infinity distance range or restrict the range to 8.5m/27.9ft.-to-infinity. Filter size: 77mm Max aperture: f/5.6 With ring USM motor"
Canon EF40mm f/2.8 STM," Rs8,725.00 "," Rs8,725.00 ",Canon,Product Code: EF40mm f/2.8 STM,"The EF40mm f/2.8 STM comes in an ultra-compact and lightweight design, with a diameter of 68.2mm, a thickness of 22.8mm and weighing 130g making it the slimmest and lightest EF lens produced. A fast f/2.8 aperture, 7-blade circular aperture and aspherical lens elements let the lens achieve a high level of image quality from centre to corner. With STM motor Filter size: 52mm Max aperture: f/2.8"
Canon EF50mm f/1.2L USM," Rs95,995.00 "," Rs95,995.00 ",Canon,Product Code: EF50mm f/1.2L USM,"This standard lens features a super-wide maximum aperture of f/1.2. Taking advantage of shallow depth of field allow the photographer to capture subjects with impact, such as for wedding portraits. Use of an aspherical lens effectively corrects spherical aberrations and delivers sharp, high-contrast images even with the aperture fully open. Another attractive aspect of the lens is its circular aperture that creates beautiful background blur. Coupled with silent, high-speed autofocusing and full-time manual focus override of subtle focusing adjustment, this lens satisfies professionals both in image quality and operability. Filter size: 72mm Max aperture: f/1.2 With ring USM motor"
Canon EF50mm f/1.4 USM," Rs26,360.00 "," Rs26,360.00 ",Canon,Product Code: EF50mm f/1.4 USM,"By optically distributing power with a gauss type design and two high- refraction glass lenses, flare at maximum aperture is minimized and astigmatism is greatly reduced. Moreover, improvements in the quality of the focused image and the beautiful natural blur of the background are simultaneously achieved. Use of a Micro USM (Micro Ultrasonic Motor) provides fast, silent autofocusing, as well as full-time manual focus. The colour balance is virtually identical to the ISO recommended reference values. Filter size: 58mm Max aperture: f/1.4 With micro USM motor"
Canon EF50mm f/1.8 II," Rs7,815.00 "," Rs7,815.00 ",Canon,Product Code: EF50mm f/1.8 II,"An orthodox 6-element, 5-group construction allows high image quality and natural expressiveness throughout the entire focusing range from infinity to the closest focusing distance of 0.45m/1.58ft. A simple cam-type drive is used in the focusing system, providing quick, quiet autofocusing and achieving a light weight of 130g/4.6oz. Neutral colour balance achieves colour reproduction that is nearly identical with the ISO recommended values. And with a price that won´t break the bank, the fun of a single focal length lens with a different attitude from a standard zoom lens is available to everyone. Filter size: 52mm Max aperture: f/1.8 With micro motor"
Canon EF50mm f/1.8 STM," Rs8,725.00 "," Rs8,725.00 ",Canon,Product Code: EF50mm f/1.8 STM,"The third-generation of the internationally best-selling EF50mm f/1.8 series standard lens, the EF50mm f/1.8 STM, which has a body that includes a metallic mount, makes use of a stepping motor (STM) that ensures silent, speedy autofocus drive operation. The lens construction, consisting of 6 elements in 5 groups and a 7-blade circular aperture, has optimized lens coatings that suppress the occurrence of flare and ghosting, resulting in high image quality. With its lightweight, compact design that belies a surprisingly large diameter, this lens is convenient and easy to use for any scene, and allows for effortless taking of photos with a large, beautiful background blur. Filter size: 49mm Max aperture: f/1.8 With STM motor"
Canon EF50mm f/2.5 Compact Macro," Rs28,125.00 "," Rs28,125.00 ",Canon,Product Code: EF50mm f/2.5 Compact Macro,"This compact 50mm macro lens is effective for close-up shots up to 0.5x (1/2 life-size) magnification. A floating element construction provides high-quality performance with sharp, clear images, from close-up photography to infinity. With the largest maximum aperture of any autofocus macro lens - f/2.5- close-up shots with shallow depth of field and general portraits with pleasing background blur are possible. Filter size: 52mm Max aperture: f/2.5 With AFD motor"
Canon EF600mm f/4L IS II USM," Rs753,635.00 "," Rs753,635.00 ",Canon,Product Code: EF600mm f/4L IS II USM,"Compared with its predecessor, the EF600mm f/4L IS II USM features a completely redesigned optics to provide better image quality and significant weight reduction. The lens is 1440g lighter due to the active use of magnesium alloy and titanium. Higher level of image quality has been achieved by the new optics which features two fluorite lens elements. Filter size: 52mm drop-in Max aperture: f/4 With ring USM motor and IS"
Canon EF85mm f/1.2L II USM," Rs129,995.00 "," Rs129,995.00 ",Canon,Product Code: EF85mm f/1.2L II USM,"An upgraded version of the EF85mm F/1.2L USM, widely deemed the ´gold standard´ for professional portrait work, this lens is the brightest in its class and offers beautiful out-of-focus effects. By virtue of its precisely ground aspherical lens, which adeptly compensates for spherical aberrations and other distortions, this lens displays exquisite detail and high contrast even at f/1.2. And with the incorporation of a floating lens mechanism, aberration fluctuations are substantially reduced at short and medium distance shots to ensure extremely sharp, quality images consistently at all shooting distances. We have also dramatically sped up AF performance in response to requests from professionals. A faster CPU and optimized AF algorithm allow the lens to focus instantaneously for reliable capture of fleeting photo opportunities. This lens is even more pleasant to use for portrait work because of the very shallow depth of field at f/1.2, coupled with full-time manual focusing for fine adjustment. Furthermore, Canon effectively reduced the flaring and ghosting common with digital cameras by optimizing internal lens placement and coatings. A circular aperture is also used to maximize the wonderful defocusing attributes of the lens at the maximum f/1.2 aperture. All told, this is the one lens that can meet the toughest demands of professional photographers, whether shooting female portraits with a masterful blur effect or natural scenes in natural lighting. Filter size: 72mm Max aperture: f/1.2 With ring USM motor"
Canon EF85mm f/1.8 USM," Rs27,270.00 "," Rs27,270.00 ",Canon,Product Code: EF85mm f/1.8 USM,"This lens´s most prominent feature is its outstanding portability. The rear focus system delivers sharp, clear images starting with the maximum aperture. The rapid, quiet, and accurate autofocusing is complemented by a full-time manual focus for subtle adjustments. When taking portraits even such fine adjustment as moving the focus from the tips of the eyelashes to the eye itself is possible, creating a subtle yet definite change in expressive tone. The natural soft blur effect is very attractive, and the lens´s operability is outstanding, with a constant lens length as well as a non-rotating front lens group to make using circular polarizing filters even easier. Filter size: 58mm Max aperture: f/1.8 With ring USM motor"
Canon MP-E65mm f/2.8 1-5x Macro Photo," Rs77,595.00 "," Rs77,595.00 ",Canon,Product Code: MP-E65mm f/2.8 1-5x Macro Photo,"This macrophoto lens allows expanded photography from life-size to 5x magnification. A floating system using three lens groups has been adopted to deliver high variable magnification in the macro region. It effectively corrects the aberration fluctuation which accompanies changes in magnification. With a UD lens element as the second element, secondary spectrum, a problem during high magnification, is minimized, guaranteeing outstanding imaging performance. The lens is equipped with an EMD (electromagnetic diaphragm) to deliver AE photography*1 Subtle adjustments to magnification are possible using the wide ring. A light-blocking line is incorporated into the front of the lens to reduce inclusion when very close to the subject. It is possible to use the Macro Ring Lite MR-14EX and the Macro Twin Lite MT-24EX. The lens comes with a removable tripod mount which allows smooth switching between vertical and horizontal photography and offers solid support. Filter size: 58mm Max aperture: f/2.8"
Samyang 14mm T3.1 Cine Lens," Rs22,900.00 "," Rs22,900.00 ",Samyang,Product Code: Samyang 14mm T3.1 Cine Lens,"PRODUCT HIGHLIGHTS *Ultra-Wide-Angle 14mm Lens *Standard Gearing for Focus and Iris *""De-Clicked"" Aperture Ring *Compatible With Full-Frame Cameras *Compatible With APS-C Cameras *Hybrid Aspherical Lenses *Multi-Layer Coating to Reduce Flare *Manual Focus and Aperture *Built-In Petal-Type Lens Hood The  Samyang 14mm T3.1 Cine Lens for Canon EF-Mount  is optimized for film and video applications. The focus and iris rings feature industry-standard gearing, which provides an interface for use with a follow focus. To aid focus pullers, aperture and focus scales are marked on the side of the lens. This 14mm lens produces a 115.7°, ultra-wide angle-of-view when used with a full-frame or 35mm camera. Hybrid aspherical lenses render sharply defined images with a minimum of distortion and chromatic aberrations, and the minimum focus distance is 11.02"" from the lens. Some cameras will require that Shutter Lock be disengaged when using this lens. 14mm lens with approximately 115.7° angle-of-view on full-frame cameras Industry-standard gearing for focus and aperture rings ""Declicked"" aperture ring for smooth iris pulls 14 elements in 10 groups with 3 high refractive index elements, 2 ED element, an aspherical hybrid element and a aspherical glass element Ultra Multi Coated lenses minimize flare and ghosting A minimum focusing distance of 11.02"" A built-in petal-type lens hood"
Samyang 14mm T3.1 Cine Lens for Canon EF-Mount," Rs23,750.00 "," Rs23,750.00 ",Samyang,Product Code: 14mm T3.1 Cine Lens for Canon EF-Mount,"Ultra-Wide-Angle 14mm Lens Standard Gearing for Focus and Iris ""De-Clicked"" Aperture Ring Compatible With Full-Frame Cameras Compatible With APS-C Cameras Hybrid Aspherical Lenses Multi-Layer Coating to Reduce Flare Manual Focus and Aperture Built-In Petal-Type Lens Hood"
Samyang 14mm T3.1 Cine Lens for Sony E-Mount," Rs23,750.00 "," Rs23,750.00 ",Samyang,Product Code: 14mm T3.1 Cine Lens for Sony E-Mount,"Ultra-Wide-Angle 14mm Lens Standard Gearing for Focus and Iris ""De-Clicked"" Aperture Ring Compatible With Full-Frame Cameras Compatible With APS-C Cameras Hybrid Aspherical Lenses Multi-Layer Coating to Reduce Flare Manual Focus and Aperture Built-In Petal-Type Lens Hood"
Sigma 105mm f/2.8 EX DG OS HSM Macro Lens," Rs48,985.00 "," Rs48,985.00 ",Sigma,Product Code: 105mm f/2.8 EX DG OS HSM Macro Lens,"Life-Size (1:1) Magnification ""Focus Free"" Mechanical Design 12.2"" (31 cm) Close Focusing Distance Non-Rotating Front Lens Optical Stabilizer (OS) Hyper Sonic Motor for Quiet Autofocus"
Sigma 10mm f/2.8 EX DC HSM Fisheye Lens," Rs66,445.00 "," Rs66,445.00 ",Sigma,Product Code: 10mm f/2.8 EX DC HSM Fisheye Lens,"Fisheye lens designed specifically for APS-C digital SLR cameras 13.5cm minimum focusing distance and 1:33 maximum magnification allows close up photography Equipped with HSM allowing full-time manual focus override Equisolid angle projection system is possible for art and scientific use This autofocus fisheye lens is designed for use with digital SLR cameras equipped with APS-C size image sensors. The Nikon version produces a diagonal angle of view of 180 degrees (154 degrees for Sigma, 167 degrees for Canon). The diagonal field of view of this fisheye lens produces striking images with exaggerated perspective and distortion. The minimum focusing distance of 13.5cm and maximum magnification 1:3.3 allows subjects to be as close as 1.8cm from the lens front element. This close focusing capability allows close-up photography and also it is possible to make use of large depth of field that covers wide range of subjects. The Integral hood blocks out extraneous light and the super multi-layer coating minimizes flare and ghosting, creating superior image quality. The HSM (Hyper Sonic Motor) ensures fast and quiet auto focusing and allows full-time manual focus override by rotation of the focus ring. This lens is supplied with a gelatin filter holder at the rear, allowing the use of gelatin filters."
Sigma 12-24mm f/4 DG HSM Art Lens," Rs140,650.00 "," Rs140,650.00 ",Sigma,Product Code: 12-24mm f/4 DG HSM Art Lens,"Full-Frame Format Aperture Range: f/4 to 22 FLD and Aspherical Elements Super Multi-Layer Coating Hyper Sonic AF Motor, Manual Override Rounded 9-Blade Diaphragm TSC Material, Brass Bayonet Mount Dust- and Splash-Proof Construction Compatible with Sigma USB Dock"
Sigma 120-300mm f/2.8 DG OS HSM Lens," Rs348,133.00 "," Rs348,133.00 ",Sigma,Product Code: 120-300mm f/2.8 DG OS HSM Lens,Aperture Range: f/2.8-22 Fast Constant Maximum Aperture Optical Stabilizer Hyper Sonic AF Motor Dust- and Splash-Proof Construction FLD and SLD Lens Elements Super Multi-Layer Coating Compatible with Sigma USB Dock
Sigma 150-600mm f/5-6.3 DG OS HSM Contemporary Lens," Rs86,223.00 "," Rs86,223.00 ",Sigma,Product Code: 150-600mm f/5-6.3 DG OS HSM Contemporary Lens,"Full Frame Aperture Range: f/5-6.3 to 22 One FLD and Three SLD Elements Hyper Sonic Motor AF System Optical Stabilizer with Accelerometer Zoom Lock & Manual Override Switches Minimum Focus Distance: 110.2"" Splash and Dust Proof Mount Lens Hood & Tripod Collar Compatible with Sigma USB Dock"
Sigma 150-600mm f/5-6.3 DG OS HSM Sports Lens," Rs179,935.00 "," Rs179,935.00 ",Sigma,Product Code: 150-600mm f/5-6.3 DG OS HSM Sports Lens,"Full Frame Aperture Range: f/5-6.3 to 22 Two FLD and Three SLD Elements Hyper Sonic Motor AF System Optical Stabilizer with Accelerometer Zoom Lock & Manual Override Switches Minimum Focus Distance: 102.4"" Splash and Dust Proof Mount Lens Hood & Rotatable Tripod Collar Compatible with Sigma USB Dock"
Sigma 150mm f/2.8 EX DG OS HSM APO Macro Lens," Rs115,430.00 "," Rs115,430.00 ",Sigma,Product Code: 150mm f/2.8 EX DG OS HSM APO Macro Lens,"Macro Lens With 1:1 Magnification Focuses to 15"" Optical Image Stabilization Hyper-Sonic Motor for Fast, Quiet AF 3 SLD Elements Correct Aberrations"
Sigma 15mm f/2.8 EX DG Diagonal Fisheye Lens," Rs70,325.00 "," Rs70,325.00 ",Sigma,Product Code: 15mm f/2.8 EX DG Diagonal Fisheye Lens,"Full-Frame Format Aperture Range: f/2.8 to f/22 180° Angle of View Diagonal, Distorted Image Seven-Blade Diaphragm"
Sigma 17-70mm f/2.8-4 DC Macro OS HSM Lens," Rs35,405.00 "," Rs35,405.00 ",Sigma,Product Code: 17-70mm f/2.8-4 DC Macro OS HSM Lens,"Aperture Range: f/2.8-22 Hyper Sonic AF Motor Optical Stabilizer Macro Capabilities Compact and Lightweight TSC Construction FLD, SLD, and Aspherical Lens Elements Super Multi-Layer Coating Compatible with Sigma USB Dock"
Sigma 18-200mm f/3.5-6.3 DC Macro OS HSM Lens," Rs38,315.00 "," Rs38,315.00 ",Sigma,Product Code: 18-200mm f/3.5-6.3 DC Macro OS HSM Lens,11x Zoom Lens Optical Stabilizer Macro Capability Hyper Sonic Motor SLD Glass Elements Super Multi-Layer Coating 7 Blade-Rounded Diaphragm Brass Bayonet Mount 27-300mm (35mm Equivalent) Designed for Use With APS-C Size Sensors
Sigma 18-300mm f/3.5-6.3 DC MACRO OS HSM Contemporary Lens," Rs53,835.00 "," Rs53,835.00 ",Sigma,Product Code: 18-300mm f/3.5-6.3 DC MACRO OS HSM Contemporary Lens,"APS-C Format 28.8-480mm (35mm Equivalent) Maximum Aperture Range: f/3.5-6.3 One SLD and Four FLD Elements Super Multi-Layer Coating Hyper Sonic Motor AF System Optical Stabilization Minimum Focus Distance: 15"" Lens Hood Included Compatible with Sigma USB Dock"
Sigma 18-35mm f/1.8 DC HSM Art Lens," Rs71,683.00 "," Rs71,683.00 ",,,Aperture Range: f/1.8-16 Fast Constant Maximum Aperture Designed for APS-C-Sized Sensors 35mm Equivalent Focal Length: 28.8-56mm Hyper Sonic AF Motor Internal Focusing and Zoom Design Four Aspherical & 5 SLD Glass Elements Super Multi-Layer Coating Compatible with Sigma USB Dock
Sigma 180mm f/2.8 APO Macro EX DG OS HSM Lens," Rs157,625.00 "," Rs157,625.00 ",Sigma,Product Code: 180mm f/2.8 APO Macro EX DG OS HSM Lens,"180mm f/2.8 Macro Lens 1:1 Magnification Optical Stabilizer Function FLD Glass Elements Reduce Aberration Floating Inner Focusing System Multi-Coating Reduces Ghosting and Flare Hyper Sonic Motor for Quiet Focusing Focus Distance of 18.5"" / 47cm"
Sigma 19mm f/2.8 EX DN Art lens for Sony E-Mount Cameras," Rs17,363.00 "," Rs17,363.00 ",Sigma,Product Code: 19mm f/2.8 EX DN Art lens,"This high-performance wide angle lens is designed exclusively for mirrorless interchangeable lens cameras and has the equivalent angle of view as a 38mm (35mm equivalent focal length) on the Micro Four Thirds systems and 28.5mm (35mm equivalent focal length) on the E-mount systems.Three glass mold aspherical lenses provide excellent correction for distortion, color aberration and field curvature. The inner focusing system corrects the fluctuation of aberration to maintain image quality regardless of the focal distance. Sigma's Super Multi-Layer Coating reduces flare and ghosting and provides sharp and high contrast images even at the maximum aperture. The superior telecentric optical design improves image quality throughout the frame. This lens benefits from a newly developed linear AF motor which moves the lens elements directly without the need for gears or the drive of other mechanical parts. This system ensures accurate and quiet autofocusing, making the lens suitable for video recording as well as still photos. The lens features a rounded 7 blade diaphragm creating an attractive blur to the out of focus areas of the image. This Sigma 19mm F2.8 EX DN has a minimum focusing distance of 20cm/7.9in and a maximum magnification ratio of 1:7.4."
Sigma 20mm f/1.4 DG HSM Art Lens," Rs81,383.00 "," Rs81,383.00 ",Sigma,Product Code: 20mm f/1.4 DG HSM Art Lens,"Full-Frame Format Aperture Range: f/1.4 to f/16 Two FLD Elements and Five SLD Elements Two Aspherical Elements Super Multi-Layer Coating Hyper Sonic AF Motor, Manual Override Rounded 9-Blade Diaphragm TSC Material, Brass Bayonet Mount Built-In Petal-Shaped Lens Hood Compatible with Sigma USB Dock"
Sigma 24-105mm f/4 DG OS HSM Art Lens," Rs81,383.00 "," Rs81,383.00 ",Sigma,Product Code: 24-105mm f/4 DG OS HSM Art Lens,"Full-Frame Format 3 Aspherical, 2 SLD, and 2 FLD Elements Optical Stabilizer Thermally Stable Composite Internal Focusing System Hyper Sonic AF Motor Compatible with Sigma USB Dock"
Sigma 24-35mm f/2 DG HSM Art Lens," Rs85,263.00 "," Rs85,263.00 ",Sigma,Product Code: 24-35mm f/2 DG HSM Art Lens,FX Format Aperture Range: f/2 to 16 FLD & Special Low Dispersion Elements Two Aspherical Elements Super Multi-Layer Coating Hyper Sonic AF Motor Internal Focus; Manual Focus Override Rounded 9-Blade Diaphragm Thermally Stable Composite Material Compatible with Sigma USB Dock
Sigma 24mm f/1.4 DG HSM Art lens," Rs73,623.00 "," Rs73,623.00 ",Sigma,Product Code: 24mm f/1.4 DG HSM Art lens,FX Format Aperture Range: f/1.4 to f/16 FLD and Special Low Dispersion Elements Two Aspherical Glass Elements Super Multi-Layer Coating Hyper Sonic AF Motor Full-Time Manual Focus Override Rounded 9-Blade Diaphragm Thermally Stable Composite Material Compatible with Sigma USB Dock
Sigma 30mm f/1.4 DC DN Contemporary Lens for Sony E," Rs27,645.00 "," Rs27,645.00 ",Sigma,Product Code: 30mm f/1.4 DC DN Contemporary Lens,"Sony E Mount/APS-C Format 45mm (35mm Equivalent) Aperture Range: f/1.4 to f/16 Three Aspherical Surfaces One High-Refractive Index Element Super Multi-Layer Coating Stepping AF Motor Rounded 9-Blade Diaphragm TSC Construction, Brass Bayonet Mount"
Sigma 30mm f/1.4 DC HSM Art Lens," Rs44,135.00 "," Rs44,135.00 ",Sigma,Product Code: 30mm f/1.4 DC HSM Art Lens,"Aperture Range: f/1.4 - 16 For APS-C Format Cameras Standard Focal Length Prime Lens Minimum Focus Distance: 11.8"" (30 cm) Hyper Sonic Motor for Smooth Autofocus Thermally Stable Composite Material Brass Bayonet Mount"
Sigma 30mm f/2.8 EX DN Art Lens for Sony E-mount Cameras," Rs17,363.00 "," Rs17,363.00 ",Sigma,Product Code: 30mm f/2.8 EX DN Art Lens,"Sony E-mount (NEX) Lens Standard Length Prime Lens 45mm Equivalency in 35mm Format Aperture Range: f/2.8-22 Minimum Focus Distance of 11.8"" Inner Focusing System Linear Autofocus Motor for Quiet AF Two Glass Molded Aspherical Elements Super Multi-Layer Coating"
Sigma 4.5mm f/2.8 EX DC HSM Circular Fisheye Lens," Rs84,875.00 "," Rs84,875.00 ",Sigma,Product Code: 4.5mm f/2.8 EX DC HSM Circular Fisheye Lens,"APS-C Format 7.2mm (35mm Equivalent) Aperture Range: f/2.8 to f/22 One SLD Glass Element Super Multi-Layer Coating 180° Angle of View Circular, Distorted Image Hyper Sonic Motor AF System Six-Blade Diaphragm"
Sigma 50-100mm f/1.8 DC HSM Art Lens," Rs93,023.00 "," Rs93,023.00 ",Sigma,Product Code: 50-100mm f/1.8 DC HSM Art Lens,"APS-C Format 80-160mm (35mm Equivalent) Aperture Range: f/1.8 to f/16 One SLD and Three FLD Elements One High-Refractive Index Element Super Multi-Layer Coating Hyper Sonic AF Motor Internal Zoom and Focus; MF Override Rounded 9-Blade Polycarbonate Diaphragm Fixed, Rotating Tripod Collar"
Sigma 500mm f/4 DG OS HSM Sports Lens," Rs557,750.00 "," Rs557,750.00 ",Sigma,Product Code: 500mm f/4 DG OS HSM Sports Lens,"Full-Frame Format Aperture Range: f/4 to 32 One SLD and Two FLD Elements Super Multi-Layer Coating Hyper Sonic AF Motor, Manual Override Optical Stabilizer; Drop-In Filter Slot Magensium-Alloy Barrel & Brass Mount Dust- and Splash-Proof Construction Rotatable Tripod Collar with Click Stops Compatible with Sigma Teleconverters"
Sigma 60mm f/2.8 EX DN Art Lens for Sony E-mount Cameras," Rs17,363.00 "," Rs17,363.00 ",Sigma,Product Code: 60mm f/2.8 EX DN Art Lens,"Sony E-mount (NEX) Lens Telephoto Prime Lens 35mm Focal Length Equivalency: 90mm Aperture Range: f/2.8-22 Minimum Focus Distance of 19.7"" Special Low Dispersion Glass Internal Focusing System Linear Motor for Accurate and Quiet AF"
Sigma 85mm f/1.4 DG HSM Art Lens," Rs100,880.00 "," Rs100,880.00 ",Sigma,Product Code: 85mm f/1.4 DG HSM Art Lens,"FX Format Aperture Range: f/1.4 to 16 Two Low Dispersion Elements One Aspherical Element Super Multi-Layer Coating Hyper Sonic AF Motor, Manual Override Rounded 9-Blade Diaphragm TSC Material, Brass Bayonet Mount Compatible with Sigma USB Dock"
Sigma 8mm f/3.5 EX DG Circular Fisheye Lens," Rs85,263.00 "," Rs85,263.00 ",Sigma,Product Code: 8mm f/3.5 EX DG Circular Fisheye Lens,"Full-Frame Format Aperture Range: f/3.5 to f/22 One SLD Glass Element Unique 180° Circular Imagery Internal Focus, AF/MF Selection Min. Focus: 5.3"", 1:4.6 Magnification Six-Blade Diaphragm"
